"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"(Intercept)",1.64518167244829,0.301432570202357,5.4578762717773,4.81863234192052e-08
"ball_pos_x",-0.000109027202557034,0.000199567815919773,-0.546316559383822,0.584848355367579
"ball_pos_y",0.00135039143466954,0.00018566344492889,7.2733296270935,3.50733072792372e-13
"ball_pos_z",-0.00264020574494731,0.000239636940987036,-11.0175239847104,3.14593687142442e-28
"ball_vel_x",-2.13062748419055e-06,2.7104591645495e-06,-0.786076216184085,0.431822837128307
"ball_vel_y",0.000102418596261187,2.64400735174246e-06,38.7361238589943,0
"ball_vel_z",1.16813388476765e-05,3.57287715630502e-06,3.26944877661482,0.00107757245685966
"ball_ang_vel_x",0.000102848349220986,4.38467677750591e-06,23.4563126177543,1.13968863185442e-121
"ball_ang_vel_y",-4.43252807494433e-07,4.40665598123125e-06,-0.100587113989004,0.919878226368329
"ball_ang_vel_z",-7.45031436191984e-06,4.54700330446451e-06,-1.63851087475672,0.101315167398565
"ball_hit_team_no",-0.0153794959016302,0.0232754066188322,-0.660761642255763,0.508765185354348
"ball_rot_x",0.00540888349194013,0.0167988541008619,0.321979312366467,0.747468366991119
"ball_rot_y",-0.0197862129576036,0.00632775589433109,-3.12689258056394,0.00176664463387905
"ball_rot_z",-0.00161045810718872,0.00635799444674523,-0.25329655769252,0.800039055959276
"shot_taker_pos_x",0.000115332551612682,0.000197160033065603,0.584969224337201,0.558568410465037
"shot_taker_pos_y",-0.00069342466854014,0.000184135504658738,-3.76583902069987,0.000165990720142802
"shot_taker_pos_z",0.0032643093089274,0.000243638705119561,13.3981557130896,6.19843578849183e-41
"shot_taker_vel_x",2.77895198169382e-06,2.31965277827314e-06,1.19800342866944,0.230915682189921
"shot_taker_vel_y",-3.17026602101953e-05,2.65527989917698e-06,-11.9394796081655,7.36827396323324e-33
"shot_taker_vel_z",8.85038447738998e-05,4.94606436812263e-06,17.8937915455178,1.31825560544738e-71
"shot_taker_ang_vel_x",4.69473752286209e-06,4.6949630268573e-06,0.99995196895185,0.317333752636177
"shot_taker_ang_vel_y",7.68224870444701e-06,4.49905343368166e-06,1.70752555347192,0.0877244123692676
"shot_taker_ang_vel_z",-1.06342799974472e-05,5.72150793652896e-06,-1.85864987262407,0.0630767830324153
"shot_taker_rot_x",0.00808626905547597,0.0259903652435377,0.31112564135614,0.755705108849682
"shot_taker_rot_y",0.0807472525133653,0.0112366844280389,7.18603899846798,6.66980003680162e-13
"shot_taker_rot_z",-0.000110728502510723,0.0108392387282208,-0.0102155239207374,0.991849332946475
"opp_1_pos_x",-1.03726131285372e-05,7.36868659074496e-06,-1.40766105340471,0.159231459512503
"opp_1_pos_y",-0.000195277445740117,6.92131051596065e-06,-28.2139408844328,3.94441744522444e-175
